CODIGO_UNICO,NOMBRE_INVERSION,AVANCE_FISICO,MONTO_VIABLE,DEPARTAMENTO,PROVINCIA,BENEFICIARIO,SECTOR,COSTO_ACTUALIZADO,PIM_ANIO_ACTUAL,TIPO_INVERSION,EFICIENCIA_AVANCE,BENEFICIARIOS_POR_MILLON,INDICE_PRIORIDAD,CATEGORIA_PROYECTO,ESTADO_AVANCE
2320298,"AMPLIACION Y MEJORAMIENTO DE LA INSTITUCIÓN EDUCATIVA SECUNDARIA DE MENORES SAN JOSÉ DE INDIANA, LOCALIDAD DE INDIANA, DISTRITO DE INDIANA - MAYNAS - LORETO",100.0,19997165.0,LORETO,MAYNAS,5441,GOBIERNOS LOCALES,31743451.06,2669104,PIP MAYOR (SNIP),5.000708850479556,272.08856855459265,0.6997400993051505,MEGA,COMPLETADO
2318906,"MEJORAMIENTO DE LOS SERVICIOS DE PROTECCION DEL CENTRO CULTURAL DE LA COMUNIDAD DE CHACOCUNCA, DISTRITO DE ASILLO - AZANGARO - PUNO",0.0,31213.21,PUNO,AZANGARO,585,GOBIERNOS LOCALES,31213.21,0,PIP MENOR (SNIP),0.0,18742.06465788043,0.3999997961673901,PEQUEÑO,SIN_INICIAR
2224539,"MEJORAMIENTO DEL SERVICIO DE AGUA E INSTALACION DE LOS SERVICIOS DE  SANEAMIENTO EN LAS LOCALIDADES DE TOMAPAMPA DE JAMBUR Y NUEVO TOMAPAMPA, DISTRITO DE PAIMAS, PROVINCIA DE AYABACA - PIURA",0.0,807458.7,PIURA,AYABACA,540,GOBIERNOS LOCALES,971811.01,0,PIP MENOR (SNIP),0.0,668.76485447491,0.3999896177043732,GRANDE,SIN_INICIAR
2563643,MEJORAMIENTO DEL SERVICIO DE PROTECCION DEL RECURSO CAMARÓN EN EL  DISTRITO DE MARIANO NICOLAS VALCARCEL - PROVINCIA DE CAMANA - DEPARTAMENTO DE AREQUIPA,32.0,853177.5,AREQUIPA,CAMANA,1025,GOBIERNOS LOCALES,853177.5,218184,PROYECTO DE INVERSION,37.50684939534856,1201.3912696947586,0.495989188940708,GRANDE,MEDIO
2476364,"ADQUISICION DE VEHICULO DE SEGURIDAD CIUDADANA EN EL(LA) LOCALIDAD SUNAMPE, DISTRITO DE SUNAMPE, PROVINCIA CHINCHA, DEPARTAMENTO ICA",0.0,150000.0,ICA,CHINCHA,0,GOBIERNOS LOCALES,150000.0,0,INVERSIONES IOARR,0.0,0.0,0.3999980361931736,PEQUEÑO,SIN_INICIAR
2601624,MEJORAMIENTO DEL SERVICIO DE ATENCIÓN Y PROMOCIÓN DE LAS FAMILIAS EN NIÑOS Y NIÑAS MENORES DE CINCO AÑOS Y MADRES GESTANTES CON DESNUTRICIÓN Y ANEMIA DEL   DISTRITO DE QUIQUIJANA DE LA PROVINCIA DE QUISPICANCHI DEL DEPARTAMENTO DE CUSCO,0.0,2369852.88,CUSCO,QUISPICANCHI,1534,GOBIERNOS LOCALES,2771412.1,300000,PROYECTO DE INVERSION,0.0,647.297565577151,0.3999695106202929,MEGA,SIN_INICIAR
2117599,"REHABILITACION DE LA INSTITUCION EDUCATIVA INICIAL N 430 MX-P DE COMUNIDAD DE PACCCHAHUALLHUA, DISTRITO DE INDEPENDENCIA - VILCAS HUAMAN - AYACUCHO",0.0,673321.18,AYACUCHO,VILCAS HUAMAN,308,GOBIERNOS LOCALES,673321.18,0,PIP MENOR (SNIP),0.0,457.4339990314874,0.3999912926300591,MEDIANO,SIN_INICIAR
2235786,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DESAGUE EN EL CENTRO POBLADO DE QUIPARACRA, DISTRITO HUACHON, PROVINCIA PASCO, REGION PASCO",0.0,4189887.0,PASCO,PASCO,1585,GOBIERNOS REGIONALES,4188182.84,0,PIP MAYOR (SNIP),0.0,378.29182505399314,0.3999457003464253,MEGA,SIN_INICIAR
2567492,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE TRANSITABILIDAD URBANA DE LAS CALLES PROGRESO JR. UNION, CALLE I, CALLE II, CALLE III Y CALLE IV DEL BARRIO MIRAFLORES ,  DISTRITO DE CURGOS - PROVINCIA DE SANCHEZ CARRION - DEPARTAMENTO DE LA LIBERTAD",0.0,3409239.16,LA LIBERTAD,SANCHEZ CARRION,40,GOBIERNOS LOCALES,4570215.68,0,PROYECTO DE INVERSION,0.0,11.732823108836987,0.3999553798048356,MEGA,SIN_INICIAR
2068874,"MEJORAMIENTO DE LA INSTITUCION EDUCATIVA SECUNDARIA DE BEIRUT ANEXO BLAS VALERA DE JUMBILLA COROSHA, DISTRITO DE COROSHA - BONGARA - AMAZONAS",0.0,245553.0,AMAZONAS,BONGARA,402,GOBIERNOS LOCALES,245553.0,0,PIP MAYOR (SNIP),0.0,1637.1211103101978,0.3999969259361967,MEDIANO,SIN_INICIAR
